# English source | de-DE | fr-FR | es-ES | pt-BR | it-IT | nl-NL | pl-PL | tr-TR | ru-RU (no spaces around separators)
Add a script start block.|Einen Skriptstartblock hinzufügen.|Ajoutez un bloc de démarrage du script.|Añada un bloque de inicio del script.|Adicione um bloco de início do script.|Aggiungi un blocco di avvio dello script.|Voeg een scriptstartblok toe.|Dodaj blok rozpoczęcia skryptu.|Betik başlangıç bloğu ekleyin.|Добавьте хотя бы один блок запуска сценария.
Administrator only|Nur Administrator|Administrateur uniquement|Solo administrador|Somente administrador|Solo amministratore|Alleen beheerder|Tylko administrator|Yalnızca yönetici|Только администратор
Allow XLSX/CSV export|XLSX/CSV-Export erlauben|Autoriser l’export XLSX/CSV|Permitir exportación XLSX/CSV|Permitir exportação XLSX/CSV|Consenti esportazione XLSX/CSV|XLSX/CSV-export toestaan|Zezwól na eksport XLSX/CSV|XLSX/CSV dışa aktarımına izin ver|Разрешить XLSX/CSV экспорт
Allowed types|Erlaubte Typen|Types autorisés|Tipos permitidos|Tipos permitidos|Tipi consentiti|Toegestane typen|Dozwolone typy|İzin verilen türler|Допустимые типы
Answer choices|Antwortoptionen|Choix de réponses|Opciones de respuesta|Opções de resposta|Opzioni di risposta|Antwoordopties|Opcje odpowiedzi|Yanıt seçenekleri|Варианты ответов
Answer type|Antworttyp|Type de réponse|Tipo de respuesta|Tipo de resposta|Tipo di risposta|Antwoordtype|Typ odpowiedzi|Yanıt türü|Тип ответа
Apply|Anwenden|Appliquer|Aplicar|Aplicar|Applica|Toepassen|Zastosuj|Uygula|Применить
Apply changes|Änderungen anwenden|Appliquer les modifications|Aplicar cambios|Aplicar alterações|Applica modifiche|Wijzigingen toepassen|Zastosuj zmiany|Değişiklikleri uygula|Применить изменения
Apply integrations|Integrationen anwenden|Appliquer les intégrations|Aplicar integraciones|Aplicar integrações|Applica integrazioni|Integraties toepassen|Zastosuj integracje|Entegrasyonları uygula|Применить интеграции
Apply settings|Einstellungen anwenden|Appliquer les paramètres|Aplicar ajustes|Aplicar configurações|Applica impostazioni|Instellingen toepassen|Zastosuj ustawienia|Ayarları uygula|Применить параметры
Auto layout|Automatisch anordnen|Disposition automatique|Distribución automática|Layout automático|Disposizione automatica|Automatisch schikken|Układ automatyczny|Otomatik yerleşim|Автоматически выровнять
Automatic transition limit exceeded.|Limit automatischer Übergänge überschritten.|Limite de transitions automatiques dépassée.|Límite de transiciones automáticas superado.|Limite de transições automáticas excedido.|Limite transizioni automatiche superato.|Limiet automatische overgangen overschreden.|Przekroczono limit automatycznych przejść.|Otomatik geçiş sınırı aşıldı.|Превышен лимит автоматических переходов.
Base URL|Basis-URL|URL de base|URL base|URL base|URL di base|Basis-URL|Bazowy URL|Temel URL|Основной URL
Block library|Blockbibliothek|Bibliothèque de blocs|Biblioteca de bloques|Biblioteca de blocos|Libreria dei blocchi|Blokkenbibliotheek|Biblioteka bloków|Blok kitaplığı|Блоки
Block “{title}” uses missing dictionary {name}.|Block „{title}“ verwendet fehlendes Verzeichnis {name}.|Le bloc « {title} » utilise le répertoire absent {name}.|El bloque «{title}» usa el directorio inexistente {name}.|O bloco “{title}” usa o diretório ausente {name}.|Il blocco «{title}» usa l’elenco mancante {name}.|Blok ‘{title}’ gebruikt ontbrekende lijst {name}.|Blok „{title}” używa brakującego słownika {name}.|“{title}” bloğu eksik {name} sözlüğünü kullanıyor.|Блок «{title}» использует отсутствующий справочник {name}.
Block “{title}”: {message}|Block „{title}“: {message}|Bloc « {title} » : {message}|Bloque «{title}»: {message}|Bloco “{title}”: {message}|Blocco «{title}»: {message}|Blok ‘{title}’: {message}|Blok „{title}”: {message}|“{title}” bloğu: {message}|Блок «{title}»: {message}
Bot|Bot|Bot|Bot|Bot|Bot|Bot|Bot|Bot|Бот
Bot languages|Bot-Sprachen|Langues du bot|Idiomas del bot|Idiomas do bot|Lingue del bot|Bottalen|Języki bota|Bot dilleri|Языки бота
Bot name|Bot-Name|Nom du bot|Nombre del bot|Nome do bot|Nome del bot|Botnaam|Nazwa bota|Bot adı|Имя бота
Bot: {p1}\nUsername: @{p3}\nID: {p5}|Bot: {p1}\nBenutzername: @{p3}\nID: {p5}|Bot : {p1}\nIdentifiant : @{p3}\nID : {p5}|Bot: {p1}\nUsuario: @{p3}\nID: {p5}|Bot: {p1}\nUsuário: @{p3}\nID: {p5}|Bot: {p1}\nNome utente: @{p3}\nID: {p5}|Bot: {p1}\nGebruikersnaam: @{p3}\nID: {p5}|Bot: {p1}\nUżytkownik: @{p3}\nID: {p5}|Bot: {p1}\nKullanıcı adı: @{p3}\nID: {p5}|Бот: {p1}\nUsername: @{p3}\nID: {p5}
Both platforms|Beide Plattformen|Les deux plateformes|Ambas plataformas|Ambas as plataformas|Entrambe le piattaforme|Beide platforms|Obie platformy|Her iki platform|Оба варианта
Branches|Zweige|Branches|Ramas|Ramificações|Rami|Takken|Gałęzie|Dallar|Ветки
Builder|Editor|Éditeur|Constructor|Construtor|Editor|Editor|Edytor|Oluşturucu|Конструктор
Callback for “{title}” exceeds 64 bytes before compilation; its ID will be shortened.|Callback für „{title}“ überschreitet vor Kompilierung 64 Bytes; die ID wird gekürzt.|Le callback de « {title} » dépasse 64 octets avant compilation ; l’ID sera raccourci.|El callback de «{title}» supera 64 bytes antes de compilar; se acortará el ID.|O callback de “{title}” excede 64 bytes antes de compilar; o ID será encurtado.|Il callback di «{title}» supera 64 byte prima della compilazione; l’ID sarà abbreviato.|Callback voor ‘{title}’ overschrijdt vóór compilatie 64 bytes; de ID wordt ingekort.|Callback „{title}” przekracza 64 bajty przed kompilacją; ID zostanie skrócony.|“{title}” callback derlemeden önce 64 baytı aşıyor; kimliği kısaltılacak.|До компиляции callback блока «{title}» длиннее 64 байт; компилятор сократит ID.
Cancel|Abbrechen|Annuler|Cancelar|Cancelar|Annulla|Annuleren|Anuluj|İptal|Отмена
Card template|Kartenvorlage|Modèle de fiche|Plantilla de tarjeta|Modelo de cartão|Modello scheda|Kaartsjabloon|Szablon karty|Kart şablonu|Шаблон карточки
Center graph|Diagramm zentrieren|Centrer le schéma|Centrar diagrama|Centralizar diagrama|Centra schema|Schema centreren|Wyśrodkuj schemat|Şemayı ortala|Центрировать схему
Changes applied. Secrets remain in this session only.|Änderungen angewendet. Geheimnisse bleiben nur in dieser Sitzung.|Modifications appliquées. Les secrets restent dans cette session uniquement.|Cambios aplicados. Los secretos permanecen solo en esta sesión.|Alterações aplicadas. Segredos permanecem apenas nesta sessão.|Modifiche applicate. I segreti restano solo in questa sessione.|Wijzigingen toegepast. Geheimen blijven alleen in deze sessie.|Zmiany zastosowane. Sekrety pozostają tylko w tej sesji.|Değişiklikler uygulandı. Gizli değerler yalnızca bu oturumda kalır.|Изменения применены. Secret-значения остались только в текущей сессии.
Channel|Kanal|Canal|Canal|Canal|Canale|Kanaal|Kanał|Kanal|Канал
Channel test|Kanaltest|Test du canal|Prueba de canal|Teste de canal|Test del canale|Kanaaltest|Test kanału|Kanal testi|Проверка канала
Channels|Kanäle|Canaux|Canales|Canais|Canali|Kanalen|Kanały|Kanallar|Каналы
Channels to export (enable and apply them in Channels & integrations first):|Exportkanäle (zuerst unter Kanäle und Integrationen aktivieren und anwenden):|Canaux à exporter (activez-les et appliquez d’abord dans Canaux et intégrations) :|Canales para exportar (active y aplique primero en Canales e integraciones):|Canais para exportar (ative e aplique primeiro em Canais e integrações):|Canali da esportare (prima attiva e applica in Canali e integrazioni):|Kanalen voor export (eerst inschakelen en toepassen bij Kanalen en integraties):|Kanały do eksportu (najpierw włącz i zastosuj w sekcji Kanały i integracje):|Dışa aktarılacak kanallar (önce Kanallar ve entegrasyonlarda etkinleştirip uygulayın):|Каналы для экспорта (сначала включите их во вкладке «Каналы и интеграции» и нажмите «Применить»):
Chat|Chat|Discussion|Chat|Chat|Chat|Chat|Czat|Sohbet|Чат
Chat ID|Chat ID|Chat ID|Chat ID|Chat ID|Chat ID|Chat ID|Chat ID|Chat ID|Chat ID
Chat ID ENV|ENV für Chat ID|ENV du Chat ID|ENV de Chat ID|ENV do Chat ID|ENV del Chat ID|ENV voor Chat ID|ENV z Chat ID|Chat ID ENV|ENV с Chat ID
Chats and topics found|Gefundene Chats und Themen|Discussions et sujets trouvés|Chats y temas encontrados|Chats e tópicos encontrados|Chat e argomenti trovati|Gevonden chats en onderwerpen|Znalezione czaty i tematy|Bulunan sohbetler ve konular|Найденные чаты и темы
Check email configuration|E-Mail-Konfiguration prüfen|Vérifier la configuration email|Comprobar configuración de correo|Verificar configuração de e-mail|Verifica configurazione email|E-mailconfiguratie controleren|Sprawdź konfigurację e-mail|E-posta yapılandırmasını denetle|Проверить конфигурацию Email
Check for updates|Nach Updates suchen|Rechercher des mises à jour|Buscar actualizaciones|Verificar atualizações|Controlla aggiornamenti|Controleren op updates|Sprawdź aktualizacje|Güncellemeleri denetle|Проверить обновления
Check for updates at startup|Beim Start nach Updates suchen|Rechercher les mises à jour au démarrage|Buscar actualizaciones al iniciar|Verificar atualizações ao iniciar|Controlla aggiornamenti all’avvio|Bij opstarten op updates controleren|Sprawdzaj aktualizacje przy uruchomieniu|Başlangıçta güncellemeleri denetle|Проверять обновления при запуске
Check syntax|Syntax prüfen|Vérifier la syntaxe|Comprobar sintaxis|Verificar sintaxe|Verifica sintassi|Syntaxis controleren|Sprawdź składnię|Sözdizimini denetle|Проверить синтаксис
Check token|Token prüfen|Vérifier le jeton|Comprobar token|Verificar token|Verifica token|Token controleren|Sprawdź token|Tokeni denetle|Проверить токен
choice/end|Auswahl/Ende|choix/fin|opción/fin|escolha/fim|scelta/fine|keuze/einde|wybór/koniec|seçim/son|выбор/конец
Close|Close|Close|Close|Close|Close|Close|Close|Close|Закрыть
Close panel|Panel schließen|Fermer le panneau|Cerrar panel|Fechar painel|Chiudi pannello|Paneel sluiten|Zamknij panel|Paneli kapat|Закрыть панель
Cloudflare Email|Cloudflare Email|Cloudflare Email|Cloudflare Email|Cloudflare Email|Cloudflare Email|Cloudflare Email|Cloudflare Email|Cloudflare Email|Cloudflare Email
Cloudflare Free allows verified recipients only: {addresses}|Cloudflare Free erlaubt nur bestätigte Empfänger: {addresses}|Cloudflare Free autorise uniquement les destinataires vérifiés : {addresses}|Cloudflare Free solo permite destinatarios verificados: {addresses}|Cloudflare Free permite apenas destinatários verificados: {addresses}|Cloudflare Free consente solo destinatari verificati: {addresses}|Cloudflare Free staat alleen geverifieerde ontvangers toe: {addresses}|Cloudflare Free dopuszcza tylko zweryfikowanych odbiorców: {addresses}|Cloudflare Free yalnızca doğrulanmış alıcılara izin verir: {addresses}|Cloudflare Free разрешает только подтверждённых получателей: {addresses}
Cloudflare Free Email binding is available only in a Cloudflare Worker.|Cloudflare-Free-E-Mail-Binding nur in Cloudflare Worker verfügbar.|Le binding Cloudflare Free Email est disponible uniquement dans Cloudflare Worker.|El binding Cloudflare Free Email solo está disponible en Cloudflare Worker.|O binding Cloudflare Free Email só está disponível no Cloudflare Worker.|Il binding Cloudflare Free Email è disponibile solo in Cloudflare Worker.|Cloudflare Free Email-binding is alleen beschikbaar in Cloudflare Worker.|Binding Cloudflare Free Email działa tylko w Cloudflare Worker.|Cloudflare Free Email binding yalnızca Cloudflare Worker’da kullanılabilir.|Cloudflare Free Email binding доступен только в Cloudflare Worker.
Cloudflare Free needs no payment method. Recipients must be verified in Email Routing; the domain must use Cloudflare DNS.|Cloudflare Free erfordert keine Zahlungsmethode. Empfänger in Email Routing bestätigen; die Domain muss Cloudflare DNS verwenden.|Cloudflare Free ne nécessite pas de paiement. Vérifiez les destinataires dans Email Routing ; le domaine doit utiliser Cloudflare DNS.|Cloudflare Free no requiere método de pago. Verifique destinatarios en Email Routing; el dominio debe usar Cloudflare DNS.|Cloudflare Free não exige método de pagamento. Verifique destinatários no Email Routing; o domínio deve usar Cloudflare DNS.|Cloudflare Free non richiede un metodo di pagamento. Verifica i destinatari in Email Routing; il dominio deve usare Cloudflare DNS.|Cloudflare Free vereist geen betaalmethode. Verifieer ontvangers in Email Routing; het domein moet Cloudflare DNS gebruiken.|Cloudflare Free nie wymaga metody płatności. Zweryfikuj odbiorców w Email Routing; domena musi używać Cloudflare DNS.|Cloudflare Free ödeme yöntemi gerektirmez. Alıcılar Email Routing ile doğrulanmalı; alan adı Cloudflare DNS kullanmalıdır.|Cloudflare Free не требует платёжного метода, но отправляет только на адреса, подтверждённые в Email Routing. Домен должен использовать Cloudflare DNS.
Cloudflare Free — verified addresses|Cloudflare Free — bestätigte Adressen|Cloudflare Free — adresses vérifiées|Cloudflare Free — direcciones verificadas|Cloudflare Free — endereços verificados|Cloudflare Free — indirizzi verificati|Cloudflare Free — geverifieerde adressen|Cloudflare Free — zweryfikowane adresy|Cloudflare Free — doğrulanmış adresler|Cloudflare Free — подтверждённые адреса
Code|Code|Code|Código|Código|Codice|Code|Kod|Kod|Код
Code mode|Code-Modus|Mode code|Modo código|Modo de código|Modalità codice|Codemodus|Tryb kodu|Kod modu|Режим кода
Code not saved|Code nicht gespeichert|Code non enregistré|Código no guardado|Código não salvo|Codice non salvato|Code niet opgeslagen|Kod nie został zapisany|Kod kaydedilmedi|Код не сохранён
Code: ON|Code: EIN|Code : ACTIF|Código: ACTIVO|Código: ATIVO|Codice: ATTIVO|Code: AAN|Kod: WŁ.|Kod: AÇIK|Код: ВКЛ
Columns|Spalten|Colonnes|Columnas|Colunas|Colonne|Kolommen|Kolumny|Sütunlar|Колонок
Command|Befehl|Commande|Comando|Comando|Comando|Opdracht|Polecenie|Komut|Команда
Command /{command} is used more than once.|Befehl /{command} wird mehrfach verwendet.|La commande /{command} est utilisée plusieurs fois.|El comando /{command} se usa varias veces.|O comando /{command} é usado várias vezes.|Il comando /{command} è usato più volte.|Opdracht /{command} wordt meerdere keren gebruikt.|Polecenie /{command} użyte wielokrotnie.|/{command} komutu birden fazla kullanılıyor.|Команда /{command} используется несколько раз.
Command {command} not found.|Befehl {command} nicht gefunden.|Commande {command} introuvable.|Comando {command} no encontrado.|Comando {command} não encontrado.|Comando {command} non trovato.|Opdracht {command} niet gevonden.|Nie znaleziono polecenia {command}.|{command} komutu bulunamadı.|Команда {command} не найдена.
Configuration is valid.|Konfiguration ist gültig.|La configuration est valide.|La configuración es válida.|A configuração é válida.|La configurazione è valida.|De configuratie is geldig.|Konfiguracja jest poprawna.|Yapılandırma geçerli.|Конфигурация корректна.
Connection and credentials are valid.\n\n|Verbindung und Zugangsdaten sind gültig.\n\n|Connexion et identifiants valides.\n\n|La conexión y las credenciales funcionan.\n\n|A conexão e as credenciais funcionam.\n\n|Connessione e credenziali valide.\n\n|Verbinding en toegangsgegevens werken.\n\n|Połączenie i dane dostępowe działają.\n\n|Bağlantı ve kimlik bilgileri geçerli.\n\n|Соединение и credential работают.\n\n
Connection ID {id} is duplicated.|Verbindungs-ID {id} ist doppelt.|L’ID de connexion {id} est dupliqué.|ID de conexión {id} duplicado.|ID de conexão {id} duplicado.|ID collegamento {id} duplicato.|Verbindings-ID {id} is dubbel.|Powtórzony ID połączenia {id}.|{id} bağlantı kimliği yineleniyor.|Повторяется ID связи {id}.
Connection {id} points to a missing block.|Verbindung {id} verweist auf fehlenden Block.|La connexion {id} pointe vers un bloc absent.|La conexión {id} apunta a un bloque ausente.|A conexão {id} aponta para bloco ausente.|Il collegamento {id} punta a un blocco mancante.|Verbinding {id} verwijst naar een ontbrekend blok.|Połączenie {id} wskazuje brakujący blok.|{id} bağlantısı eksik bloğa işaret ediyor.|Связь {id} указывает на отсутствующий блок.
Contact|Kontakt|Contact|Contacto|Contato|Contatto|Contact|Kontakt|Kişi|Контакт
Contacts|Kontakte|Contacts|Contactos|Contatos|Contatti|Contacten|Kontakty|Kişiler|Контакты
Context Capsule may use about {estimated} characters.|Context Capsule kann etwa {estimated} Zeichen belegen.|Context Capsule peut occuper environ {estimated} caractères.|Context Capsule puede ocupar unos {estimated} caracteres.|Context Capsule pode ocupar cerca de {estimated} caracteres.|Context Capsule può occupare circa {estimated} caratteri.|Context Capsule kan ongeveer {estimated} tekens gebruiken.|Context Capsule może zająć około {estimated} znaków.|Context Capsule yaklaşık {estimated} karakter kullanabilir.|Context Capsule может занять около {estimated} символов.
Context signature for channels without BOT_TOKEN|Kontextsignatur für Kanäle ohne BOT_TOKEN|Signature du contexte pour les canaux sans BOT_TOKEN|Firma del contexto para canales sin BOT_TOKEN|Assinatura de contexto para canais sem BOT_TOKEN|Firma del contesto per canali senza BOT_TOKEN|Contexthandtekening voor kanalen zonder BOT_TOKEN|Podpis kontekstu dla kanałów bez BOT_TOKEN|BOT_TOKEN olmayan kanallar için bağlam imzası|Подпись stateless-контекста для каналов без BOT_TOKEN
Continue on error|Bei Fehler fortfahren|Continuer en cas d’erreur|Continuar si hay error|Continuar em caso de erro|Continua in caso di errore|Doorgaan bij fout|Kontynuuj przy błędzie|Hatada devam et|Продолжать при ошибке
Copy|Kopieren|Copier|Copiar|Copiar|Copia|Kopiëren|Kopiuj|Kopyala|Копировать
Could not apply changes|Änderungen konnten nicht angewendet werden|Impossible d’appliquer les modifications|No se pudieron aplicar los cambios|Não foi possível aplicar alterações|Impossibile applicare le modifiche|Wijzigingen toepassen mislukt|Nie udało się zastosować zmian|Değişiklikler uygulanamadı|Не удалось применить
